index,x_offset,y_offset,x_advance,y_advance,codepoint
54,0,0,4,0,63743
76,0,0,9,0,63742
75,0,0,9,0,63741
77,0,0,9,0,63740
61,0,0,5,0,63739
78,0,0,9,0,63738
79,0,0,9,0,63737
55,0,0,4,0,63736
80,0,0,9,0,63735
46,0,0,9,0,63734
27,0,0,14,0,63733
81,0,0,9,0,63732
82,0,0,9,0,63731
83,0,0,9,0,63730
84,0,0,9,0,63729
39,0,0,9,0,63728
418,0,0,5,0,63727
20,0,0,13,0,63726
42,0,0,9,0,63725
44,0,0,10,0,63724
50,0,0,11,0,63723
47,0,0,11,0,63722
35,0,0,11,0,63721
40,0,0,11,0,63720
70,0,0,10,0,63719
37,0,0,9,0,63718
460,0,0,4,0,63717
56,0,0,4,0,63716
57,0,0,0,0,63715
16,0,0,12,0,63714
170,0,0,4,0,63713
51,0,0,8,0,63712
22,0,0,10,0,63711
48,0,0,11,0,63710
10,0,0,8,0,63709
85,0,0,9,0,63708
43,0,0,11,0,63707
32,0,0,11,0,63706
25,0,0,9,0,63705
34,0,0,10,0,63704
488,0,0,13,0,63703
6,0,0,7,0,63702
38,0,0,9,0,63701
30,0,0,9,0,63700
131,0,0,0,0,63699
18,0,0,12,0,63698
8,0,0,14,0,63697
9,0,0,18,0,63696
45,0,0,10,0,63695
21,0,0,11,0,63694
192,0,0,12,0,63693
12,0,0,11,0,63692
36,0,0,10,0,63691
41,0,0,13,0,63690
26,0,0,11,0,63689
131,-1,0,0,0,63688
49,0,0,10,0,63687
57,-3,0,0,0,63686
129,0,0,14,0,63685
403,0,0,11,0,63684
7,0,0,7,0,63683
187,0,0,11,0,63682
420,0,0,13,0,63681
58,0,0,0,0,63680
275,0,0,11,0,63679
68,0,0,11,0,63678
325,0,0,11,0,63677
59,0,0,0,0,63676
307,0,0,11,0,63675
243,0,0,11,0,63674
405,0,0,11,0,63673
66,0,0,8,0,63672
62,0,0,5,0,63671
255,0,0,15,0,63670
554,-2,0,0,0,63669
86,0,0,9,0,63668
131,-2,0,0,0,63667
23,0,0,10,0,63666
331,0,0,14,0,63665
173,0,0,11,0,63664
318,0,0,12,0,63663
422,0,0,13,0,63662
171,0,0,15,0,63661
332,0,0,12,0,63660
131,-3,0,0,0,63659
391,0,0,9,0,63658
67,0,0,4,0,63657
237,0,0,10,0,63656
365,0,0,14,0,63655
290,0,0,13,0,63654
65,0,0,0,0,63653
241,0,0,11,0,63652
200,0,0,11,0,63651
419,0,0,5,0,63650
288,0,0,13,0,63649
235,0,0,15,0,63648
230,0,0,10,0,63647
300,0,0,12,0,63646
461,0,0,4,0,63645
59,-3,0,0,0,63644
272,0,0,11,0,63643
228,0,0,10,0,63642
554,-1,0,0,0,63641
194,0,0,10,0,63640
261,0,0,14,0,63639
424,0,0,13,0,63638
425,0,0,9,0,63637
399,0,0,13,0,63636
130,0,0,15,0,63635
333,0,0,9,0,63634
555,-2,0,0,0,63633
446,0,0,12,0,63632
402,0,0,15,0,63631
31,0,0,9,0,63630
392,0,0,11,0,63629
189,0,0,11,0,63628
346,0,0,11,0,63627
280,0,0,15,0,63626
381,0,0,11,0,63625
340,0,0,14,0,63624
378,0,0,12,0,63623
92,0,0,5,0,63622
337,0,0,11,0,63621
384,0,0,15,0,63620
338,0,0,13,0,63619
329,0,0,13,0,63618
362,0,0,18,0,63617
629,0,0,8,0,63616
5,-2,0,0,0,63615
412,0,0,11,0,63614
423,0,0,13,0,63613
5,0,0,0,0,63612
59,-2,0,0,0,63611
310,0,0,14,0,63610
552,-2,0,0,0,63609
326,0,0,10,0,63608
393,0,0,14,0,63607
416,0,0,15,0,63606
24,0,0,11,0,63605
28,0,0,12,0,63604
5,-1,0,0,0,63603
443,0,0,12,0,63602
334,0,0,13,0,63601
356,0,0,9,0,63600
470,0,0,4,0,63599
335,0,0,14,0,63598
364,0,0,11,0,63597
312,0,0,11,0,63596
6,0,0,6,0,63595
260,0,0,12,0,63594
5,-3,0,0,0,63593
182,0,0,11,0,63592
491,0,0,13,0,63591
407,0,0,20,0,63590
348,0,0,11,0,63589
267,0,0,10,0,63588
409,0,0,15,0,63587
279,0,0,13,0,63586
398,0,0,10,0,63585
285,0,0,21,0,63584
315,0,0,13,0,63583
447,0,0,12,0,63582
253,0,0,11,0,63581
309,0,0,10,0,63580
195,0,0,11,0,63579
69,0,0,9,0,63578
193,0,0,14,0,63577
252,0,0,12,0,63576
406,0,0,11,0,63575
462,0,0,4,0,63574
298,0,0,14,0,63573
484,0,0,13,0,63572
17,0,0,14,0,63571
292,0,0,10,0,63570
33,0,0,9,0,63569
202,0,0,11,0,63568
11,0,0,11,0,63567
65,-2,0,0,0,63566
18,0,0,11,0,63565
390,0,0,11,0,63564
353,0,0,14,0,63563
493,-3,0,0,0,63562
184,0,0,11,0,63561
57,-4,0,0,0,63560
411,0,0,15,0,63559
14,0,0,13,0,63558
374,0,0,15,0,63557
231,0,0,15,0,63556
455,0,0,11,0,63555
493,0,0,0,0,63554
489,0,0,13,0,63553
320,0,0,11,0,63552
439,0,0,11,0,63551
394,0,0,17,0,63550
497,0,0,0,0,63549
196,0,0,10,0,63548
299,0,0,11,0,63547
65,-1,0,0,0,63546
344,0,0,11,0,63545
389,0,0,11,0,63544
263,0,0,17,0,63543
232,0,0,10,0,63542
269,0,0,10,0,63541
351,0,0,13,0,63540
495,-3,0,0,0,63539
322,0,0,13,0,63538
29,0,0,16,0,63537
373,0,0,16,0,63536
476,0,0,4,0,63535
172,0,0,11,0,63534
396,0,0,13,0,63533
361,0,0,10,0,63532
65,-3,0,0,0,63531
463,0,0,4,0,63530
490,0,0,15,0,63529
415,0,0,12,0,63528
555,-1,0,0,0,63527
58,-3,0,0,0,63526
410,0,0,11,0,63525
387,0,0,11,0,63524
368,0,0,18,0,63523
266,0,0,13,0,63522
19,0,0,14,0,63521
408,0,0,19,0,63520
442,0,0,14,0,63519
220,0,0,15,0,63518
388,0,0,14,0,63517
472,0,0,4,0,63516
503,-1,1,0,0,63515
161,0,0,11,0,63514
151,0,0,6,0,63513
57,-1,0,0,0,63512
274,0,0,16,0,63511
343,0,0,16,0,63510
345,0,0,11,0,63509
456,0,0,0,0,63508
440,0,0,14,0,63507
435,0,0,14,0,63506
400,0,0,14,0,63505
371,0,0,14,0,63504
203,0,0,10,0,63503
354,0,0,11,0,63502
300,0,0,11,0,63501
188,0,0,11,0,63500
13,0,0,13,0,63499
380,0,0,15,0,63498
179,0,0,14,0,63497
437,0,0,14,0,63496
289,0,0,12,0,63495
158,0,0,8,0,63494
134,0,0,11,0,63493
426,0,0,11,0,63492
244,0,0,15,0,63491
276,0,0,18,0,63490
213,0,0,12,0,63489
485,0,0,13,0,63488
174,0,0,11,0,63487
366,0,0,10,0,63486
339,0,0,13,0,63485
438,0,0,14,0,63484
330,0,0,13,0,63483
287,0,0,22,0,63482
308,0,0,12,0,63481
156,0,0,9,0,63480
417,0,0,10,0,63479
505,0,0,0,0,63478
363,0,0,17,0,63477
492,0,0,0,0,63476
341,0,0,14,0,63475
464,0,0,4,0,63474
295,0,0,18,0,63473
144,0,0,8,0,63472
434,0,0,15,0,63471
270,0,0,10,0,63470
57,-2,0,0,0,63469
240,0,0,11,0,63468
254,0,0,11,0,63467
502,-1,0,0,0,63466
350,0,0,13,0,63465
349,0,0,17,0,63464
132,0,0,0,0,63463
501,-1,0,0,0,63462
278,0,0,23,0,63461
268,0,0,14,0,63460
264,0,0,11,0,63459
138,0,0,10,0,63458
107,0,0,14,0,63457
259,0,0,14,0,63456
52,0,0,0,0,63455
501,-2,0,0,0,63454
313,0,0,17,0,63453
95,0,0,11,0,63452
136,0,0,8,0,63451
59,-5,0,0,0,63450
413,0,0,20,0,63449
154,0,0,8,0,63448
494,-2,0,0,0,63447
215,0,0,10,0,63446
328,0,0,12,0,63445
501,-1,1,0,0,63444
379,0,0,18,0,63443
503,-3,0,0,0,63442
150,0,0,8,0,63441
487,0,0,20,0,63440
502,-1,1,0,0,63439
159,0,0,8,0,63438
342,0,0,13,0,63437
421,0,0,13,0,63436
283,0,0,15,0,63435
152,0,0,9,0,63434
501,-3,0,0,0,63433
501,0,0,0,0,63432
302,0,0,9,0,63431
229,0,0,10,0,63430
262,0,0,14,0,63429
369,0,0,11,0,63428
358,0,0,11,0,63427
352,0,0,15,0,63426
139,0,0,8,0,63425
