index,x_offset,y_offset,x_advance,y_advance,codepoint
66,0,0,4,0,63743
40,0,0,9,0,63742
51,0,0,9,0,63741
57,0,0,9,0,63740
50,0,0,9,0,63739
44,0,0,9,0,63738
52,0,0,6,0,63737
25,0,0,12,0,63736
607,0,0,4,0,63735
75,0,0,0,0,63734
60,0,0,11,0,63733
46,0,0,9,0,63732
42,0,0,8,0,63731
69,0,0,0,0,63730
79,0,0,4,0,63729
6,0,0,0,0,63728
54,0,0,11,0,63727
68,0,0,4,0,63726
58,0,0,11,0,63725
181,0,0,0,0,63724
215,0,0,6,0,63723
198,0,0,5,0,63722
27,0,0,9,0,63721
61,0,0,8,0,63720
49,0,0,11,0,63719
39,0,0,11,0,63718
30,0,0,10,0,63717
7,0,0,4,0,63716
202,0,0,5,0,63715
32,0,0,12,0,63714
81,0,0,0,0,63713
43,0,0,10,0,63712
48,0,0,9,0,63711
274,0,0,9,0,63710
609,0,0,4,0,63709
104,0,0,6,0,63708
70,0,0,0,0,63707
59,0,0,9,0,63706
9,0,0,12,0,63705
76,0,0,0,0,63704
608,0,0,4,0,63703
41,0,0,10,0,63702
269,0,0,9,0,63701
37,0,0,9,0,63700
610,0,0,4,0,63699
35,0,0,8,0,63698
606,0,0,4,0,63697
71,0,0,0,0,63696
179,0,0,11,0,63695
65,0,0,7,0,63694
75,-1,0,0,0,63693
26,0,0,13,0,63692
605,0,0,4,0,63691
80,0,0,4,0,63690
652,0,0,0,0,63689
521,0,0,11,0,63688
271,0,0,8,0,63687
203,0,0,5,0,63686
11,0,0,8,0,63685
494,0,0,13,0,63684
210,0,0,7,0,63683
207,0,0,5,0,63682
276,0,0,9,0,63681
13,0,0,9,0,63680
417,0,0,9,0,63679
558,0,0,11,0,63678
10,0,0,16,0,63677
69,-3,0,0,0,63676
197,0,0,7,0,63675
557,0,0,14,0,63674
562,0,0,9,0,63673
185,0,0,4,0,63672
284,0,0,11,0,63671
529,0,0,10,0,63670
531,0,0,12,0,63669
75,-3,0,0,0,63668
545,0,0,10,0,63667
183,0,0,8,0,63666
201,0,0,6,0,63665
536,0,0,11,0,63664
497,0,0,10,0,63663
653,0,0,4,0,63662
47,0,0,12,0,63661
19,0,0,9,0,63660
604,0,0,4,0,63659
71,-3,0,0,0,63658
31,0,0,11,0,63657
254,0,0,12,0,63656
28,0,0,9,0,63655
29,0,0,10,0,63654
418,0,0,12,0,63653
256,0,0,9,0,63652
568,0,0,16,0,63651
611,0,0,4,0,63650
107,0,0,9,0,63649
419,0,0,8,0,63648
180,0,0,10,0,63647
105,0,0,9,0,63646
214,0,0,6,0,63645
