index,x_offset,y_offset,x_advance,y_advance,codepoint
66,0,0,4,0,63138
40,0,0,9,0,63137
51,0,0,9,0,63136
57,0,0,9,0,63135
50,0,0,9,0,63134
44,0,0,9,0,63133
52,0,0,6,0,63132
25,0,0,12,0,63131
607,0,0,4,0,63130
75,0,0,0,0,63129
60,0,0,11,0,63128
46,0,0,9,0,63127
42,0,0,8,0,63126
69,0,0,0,0,63125
79,0,0,4,0,63124
6,0,0,0,0,63123
54,0,0,11,0,63122
68,0,0,4,0,63121
58,0,0,11,0,63120
181,0,0,0,0,63119
215,0,0,6,0,63118
198,0,0,5,0,63117
27,0,0,9,0,63116
61,0,0,8,0,63115
49,0,0,11,0,63114
39,0,0,11,0,63113
30,0,0,10,0,63112
7,0,0,4,0,63111
202,0,0,5,0,63110
32,0,0,12,0,63109
81,0,0,0,0,63108
43,0,0,10,0,63107
48,0,0,9,0,63106
274,0,0,9,0,63105
609,0,0,4,0,63104
104,0,0,6,0,63103
70,0,0,0,0,63102
59,0,0,9,0,63101
9,0,0,12,0,63100
76,0,0,0,0,63099
608,0,0,4,0,63098
41,0,0,10,0,63097
269,0,0,9,0,63096
37,0,0,9,0,63095
610,0,0,4,0,63094
35,0,0,8,0,63093
606,0,0,4,0,63092
71,0,0,0,0,63091
179,0,0,11,0,63090
65,0,0,7,0,63089
75,-1,0,0,0,63088
26,0,0,13,0,63087
605,0,0,4,0,63086
80,0,0,4,0,63085
652,0,0,0,0,63084
521,0,0,11,0,63083
271,0,0,8,0,63082
203,0,0,5,0,63081
11,0,0,8,0,63080
494,0,0,13,0,63079
210,0,0,7,0,63078
207,0,0,5,0,63077
276,0,0,9,0,63076
13,0,0,9,0,63075
417,0,0,9,0,63074
558,0,0,11,0,63073
10,0,0,16,0,63072
69,-3,0,0,0,63071
197,0,0,7,0,63070
557,0,0,14,0,63069
562,0,0,9,0,63068
185,0,0,4,0,63067
284,0,0,11,0,63066
529,0,0,10,0,63065
531,0,0,12,0,63064
75,-3,0,0,0,63063
545,0,0,10,0,63062
183,0,0,8,0,63061
201,0,0,6,0,63060
536,0,0,11,0,63059
497,0,0,10,0,63058
653,0,0,4,0,63057
47,0,0,12,0,63056
19,0,0,9,0,63055
604,0,0,4,0,63054
71,-3,0,0,0,63053
31,0,0,11,0,63052
254,0,0,12,0,63051
28,0,0,9,0,63050
29,0,0,10,0,63049
418,0,0,12,0,63048
256,0,0,9,0,63047
568,0,0,16,0,63046
611,0,0,4,0,63045
107,0,0,9,0,63044
419,0,0,8,0,63043
180,0,0,10,0,63042
105,0,0,9,0,63041
214,0,0,6,0,63040
36,0,0,9,0,63039
559,0,0,11,0,63038
213,0,0,6,0,63037
501,0,0,17,0,63036
86,0,0,0,0,63035
449,0,0,0,0,63034
81,-2,0,0,0,63033
188,0,0,6,0,63032
192,0,0,8,0,63031
613,0,0,4,0,63030
114,0,0,9,0,63029
55,0,0,12,0,63028
655,0,0,4,0,63027
206,0,0,6,0,63026
33,0,0,12,0,63025
631,0,0,4,0,63024
542,0,0,14,0,63023
108,0,0,9,0,63022
615,0,0,4,0,63021
190,0,0,8,0,63020
565,0,0,9,0,63019
12,0,0,8,0,63018
106,0,0,9,0,63017
6,-3,0,0,0,63016
109,0,0,9,0,63015
214,0,0,5,0,63014
113,0,0,9,0,63013
461,0,0,4,0,63012
5,0,0,0,0,63011
450,0,0,0,0,63010
612,0,0,4,0,63009
111,0,0,9,0,63008
205,0,0,6,0,63007
184,0,0,9,0,63006
110,0,0,9,0,63005
115,0,0,9,0,63004
403,0,0,8,0,63003
6,-1,0,0,0,63002
421,0,0,8,0,63001
112,0,0,9,0,63000
85,0,0,0,0,62999
440,0,0,4,0,62998
134,0,0,8,0,62997
619,0,0,4,0,62996
614,0,0,4,0,62995
77,0,0,4,0,62994
576,0,0,12,0,62993
533,0,0,8,0,62992
500,0,0,16,0,62991
470,0,0,0,0,62990
76,-1,0,0,0,62989
462,0,0,4,0,62988
38,0,0,9,0,62987
181,-1,0,0,0,62986
81,-1,0,0,0,62985
528,0,0,12,0,62984
553,0,0,15,0,62983
219,0,0,7,0,62982
81,1,0,0,0,62981
69,-1,0,0,0,62980
70,-3,0,0,0,62979
76,-3,0,0,0,62978
570,0,0,15,0,62977
96,0,0,9,0,62976
577,0,0,12,0,62975
506,0,0,20,0,62974
286,0,0,11,0,62973
277,0,0,11,0,62972
208,0,0,5,0,62971
441,0,0,4,0,62970
283,0,0,9,0,62969
621,0,0,4,0,62968
522,0,0,6,0,62967
420,0,0,8,0,62966
407,0,0,9,0,62965
23,0,0,16,0,62964
212,0,0,5,0,62963
202,0,0,6,0,62962
504,0,0,19,0,62961
549,0,0,14,0,62960
14,0,0,12,0,62959
199,0,0,6,0,62958
15,0,0,13,0,62957
73,0,0,0,0,62956
70,-1,0,0,0,62955
507,0,0,8,0,62954
181,-3,0,0,0,62953
183,0,0,9,0,62952
526,0,0,8,0,62951
95,0,0,12,0,62950
633,0,0,4,0,62949
561,0,0,11,0,62948
523,0,0,15,0,62947
547,0,0,9,0,62946
264,0,0,8,0,62945
405,0,0,8,0,62944
560,0,0,16,0,62943
564,0,0,9,0,62942
186,0,0,5,0,62941
20,0,0,9,0,62940
573,0,0,19,0,62939
86,0,-4,0,0,62938
548,0,0,15,0,62937
74,0,0,0,0,62936
540,0,0,14,0,62935
67,0,0,4,0,62934
85,2,0,0,0,62933
634,0,0,4,0,62932
98,0,0,12,0,62931
