index,x_offset,y_offset,x_advance,y_advance,codepoint
57,0,0,4,0,62238
40,0,0,9,0,62237
47,0,0,7,0,62236
65,0,0,0,0,62235
45,0,0,9,0,62234
50,0,0,9,0,62233
59,0,0,4,0,62232
5,0,0,0,0,62231
68,0,0,4,0,62230
21,0,0,8,0,62229
53,0,0,11,0,62228
48,0,0,10,0,62227
60,0,0,0,0,62226
36,0,0,9,0,62225
46,0,0,9,0,62224
41,0,0,9,0,62223
33,0,0,8,0,62222
38,0,0,7,0,62221
23,0,0,10,0,62220
31,0,0,7,0,62219
627,0,0,4,0,62218
54,0,0,10,0,62217
43,0,0,11,0,62216
651,0,0,4,0,62215
51,0,0,11,0,62214
28,0,0,13,0,62213
35,0,0,13,0,62212
37,0,0,10,0,62211
26,0,0,10,0,62210
16,0,0,14,0,62209
7,0,0,14,0,62208
625,0,0,4,0,62207
44,0,0,13,0,62206
49,0,0,12,0,62205
39,0,0,9,0,62204
22,0,0,12,0,62203
131,0,0,0,0,62202
152,0,0,6,0,62201
471,0,0,9,0,62200
19,0,0,18,0,62199
61,0,0,0,0,62198
8,0,0,18,0,62197
165,0,0,8,0,62196
628,0,0,4,0,62195
65,-1,0,0,0,62194
42,0,0,8,0,62193
626,0,0,4,0,62192
9,0,0,10,0,62191
224,0,0,9,0,62190
29,0,0,11,0,62189
10,0,0,10,0,62188
650,0,0,4,0,62187
472,0,0,9,0,62186
440,0,0,16,0,62185
11,0,0,10,0,62184
441,0,0,16,0,62183
160,0,0,7,0,62182
482,0,0,11,0,62181
649,0,0,0,0,62180
476,0,0,9,0,62179
133,0,0,8,0,62178
27,0,0,12,0,62177
475,0,0,9,0,62176
219,0,0,9,0,62175
60,-1,0,0,0,62174
148,0,0,6,0,62173
673,-2,0,0,0,62172
77,0,0,9,0,62171
52,0,0,9,0,62170
24,0,0,10,0,62169
716,0,0,7,0,62168
129,0,0,11,0,62167
66,0,0,0,0,62166
78,0,0,9,0,62165
32,0,0,8,0,62164
404,0,0,4,0,62163
446,0,0,7,0,62162
463,0,0,10,0,62161
468,0,0,9,0,62160
62,0,0,0,0,62159
76,0,0,9,0,62158
629,0,0,4,0,62157
34,0,0,8,0,62156
221,0,0,8,0,62155
442,0,0,13,0,62154
204,0,0,8,0,62153
157,0,0,6,0,62152
81,0,0,9,0,62151
83,0,0,9,0,62150
445,0,0,11,0,62149
85,0,0,9,0,62148
79,0,0,9,0,62147
80,0,0,9,0,62146
84,0,0,9,0,62145
713,0,0,4,0,62144
82,0,0,9,0,62143
708,0,0,15,0,62142
206,0,0,10,0,62141
153,0,0,6,0,62140
479,0,0,9,0,62139
477,0,0,10,0,62138
373,0,0,10,0,62137
6,0,0,4,0,62136
69,0,0,4,0,62135
474,0,0,13,0,62134
214,0,0,7,0,62133
473,0,0,11,0,62132
135,0,0,6,0,62131
377,0,0,11,0,62130
414,0,0,0,0,62129
480,0,0,11,0,62128
64,0,0,0,0,62127
674,-1,0,0,0,62126
60,-2,0,0,0,62125
226,0,0,11,0,62124
233,0,0,11,0,62123
390,0,0,13,0,62122
710,0,0,17,0,62121
164,0,0,7,0,62120
138,0,0,7,0,62119
67,0,0,4,0,62118
423,0,0,4,0,62117
391,0,0,12,0,62116
151,0,0,7,0,62115
470,0,0,9,0,62114
634,0,0,4,0,62113
155,0,0,9,0,62112
415,0,0,0,0,62111
674,-2,0,0,0,62110
70,0,0,0,0,62109
395,0,0,16,0,62108
130,0,0,11,0,62107
424,0,0,4,0,62106
408,0,0,4,0,62105
61,-1,0,0,0,62104
633,0,0,4,0,62103
62,-1,0,0,0,62102
382,0,0,9,0,62101
704,0,0,8,0,62100
465,0,0,10,0,62099
384,0,0,10,0,62098
448,0,0,8,0,62097
673,-1,0,0,0,62096
143,0,0,7,0,62095
163,0,0,7,0,62094
354,0,0,21,0,62093
12,0,0,14,0,62092
462,0,0,12,0,62091
383,0,0,10,0,62090
409,0,0,4,0,62089
639,0,0,4,0,62088
630,0,0,4,0,62087
653,0,0,4,0,62086
715,0,0,5,0,62085
632,0,0,4,0,62084
225,0,0,8,0,62083
357,0,0,7,0,62082
154,0,0,8,0,62081
478,0,0,12,0,62080
147,0,0,9,0,62079
631,0,0,4,0,62078
376,0,0,7,0,62077
398,0,0,13,0,62076
216,0,0,8,0,62075
140,0,0,13,0,62074
429,0,0,0,0,62073
344,0,0,14,0,62072
464,0,0,10,0,62071
620,0,0,0,0,62070
346,0,0,11,0,62069
162,0,0,6,0,62068
145,0,0,8,0,62067
621,0,0,0,0,62066
705,0,0,16,0,62065
345,0,0,16,0,62064
430,0,0,10,0,62063
393,0,0,13,0,62062
149,0,0,7,0,62061
552,0,0,16,0,62060
387,0,0,14,0,62059
15,0,0,14,0,62058
673,0,0,0,0,62057
13,0,0,13,0,62056
370,0,0,16,0,62055
168,0,0,8,0,62054
637,0,0,4,0,62053
469,0,0,10,0,62052
447,0,0,9,0,62051
4,0,0,0,0,62050
709,0,0,15,0,62049
714,0,0,5,0,62048
432,0,0,10,0,62047
444,0,0,7,0,62046
