index,x_offset,y_offset,x_advance,y_advance,codepoint
51,0,0,4,0,61681
43,0,0,9,0,61680
53,0,0,4,0,61679
36,0,0,10,0,61678
48,0,0,9,0,61677
52,0,0,4,0,61676
17,0,0,10,0,61675
44,0,0,11,0,61674
56,0,0,0,0,61673
41,0,0,9,0,61672
34,0,0,10,0,61671
32,0,0,8,0,61670
58,0,0,0,0,61669
46,0,0,9,0,61668
54,0,0,0,0,61667
39,0,0,10,0,61666
37,0,0,9,0,61665
49,0,0,9,0,61664
19,0,0,12,0,61663
27,0,0,9,0,61662
8,0,0,15,0,61661
77,0,0,0,0,61660
24,0,0,10,0,61659
5,0,0,0,0,61658
29,0,0,9,0,61657
55,0,0,0,0,61656
7,0,0,12,0,61655
57,0,0,0,0,61654
47,0,0,9,0,61653
78,0,0,0,0,61652
22,0,0,10,0,61651
31,0,0,10,0,61650
18,0,0,9,0,61649
9,0,0,13,0,61648
38,0,0,9,0,61647
10,0,0,13,0,61646
65,0,0,9,0,61645
64,0,0,10,0,61644
42,0,0,11,0,61643
11,0,0,10,0,61642
13,0,0,9,0,61641
40,0,0,9,0,61640
33,0,0,9,0,61639
35,0,0,9,0,61638
15,0,0,10,0,61637
59,0,0,0,0,61636
111,0,0,0,0,61635
56,-3,0,0,0,61634
20,0,0,12,0,61633
14,0,0,12,0,61632
23,0,0,10,0,61631
145,0,0,0,0,61630
66,0,0,9,0,61629
146,0,0,0,0,61628
131,0,0,0,0,61627
77,-3,0,0,0,61626
25,0,0,9,0,61625
28,0,0,10,0,61624
68,0,0,9,0,61623
144,0,0,0,0,61622
12,0,0,10,0,61621
153,-3,0,0,0,61620
69,0,0,9,0,61619
72,0,0,9,0,61618
70,0,0,9,0,61617
73,0,0,9,0,61616
71,0,0,9,0,61615
30,0,0,10,0,61614
74,0,0,9,0,61613
75,0,0,9,0,61612
143,0,0,4,0,61611
76,0,0,9,0,61610
62,0,0,9,0,61609
67,0,0,9,0,61608
137,0,0,10,0,61607
130,0,0,10,0,61606
239,0,0,9,0,61605
112,0,0,0,0,61604
132,0,0,0,0,61603
57,-3,0,0,0,61602
60,0,0,0,0,61601
16,0,0,12,0,61600
147,0,0,0,0,61599
164,0,0,0,0,61598
45,0,0,11,0,61597
140,0,0,12,0,61596
59,-3,0,0,0,61595
156,0,0,10,0,61594
141,0,0,10,0,61593
63,0,0,12,0,61592
60,-2,0,0,0,61591
60,-1,0,0,0,61590
114,0,0,10,0,61589
131,-1,0,0,0,61588
139,0,0,9,0,61587
159,0,0,12,0,61586
79,0,0,9,0,61585
138,0,0,10,0,61584
80,0,0,10,0,61583
132,-1,0,0,0,61582
136,0,0,13,0,61581
113,0,0,0,0,61580
60,1,0,0,0,61579
87,0,0,10,0,61578
26,0,0,9,0,61577
154,-3,0,0,0,61576
50,0,0,0,0,61575
0,0,0,9,0,61574
21,0,0,9,0,61573
145,-3,0,0,0,61572
58,-2,0,0,0,61571
240,0,0,11,0,61570
56,-2,0,0,0,61569
163,0,0,0,0,61568
144,-3,0,0,0,61567
165,0,0,0,0,61566
133,0,0,0,0,61565
134,0,0,9,0,61564
6,0,0,6,0,61563
115,0,0,0,0,61562
125,0,0,0,0,61561
120,0,0,0,0,61560
135,0,0,9,0,61559
4,0,0,0,0,61558
77,-2,0,0,0,61557
5,-2,0,0,0,61556
142,0,0,12,0,61555
57,-2,0,0,0,61554
82,0,0,0,0,61553
61,0,0,0,0,61552
5,-3,0,0,0,61551
147,-2,0,0,0,61550
81,0,0,23,0,61549
133,-1,0,0,0,61548
102,0,0,10,0,61547
96,0,0,10,0,61546
162,0,0,4,0,61545
59,-2,0,0,0,61544
166,0,0,0,0,61543
112,1,0,0,0,61542
160,0,0,10,0,61541
158,0,0,9,0,61540
126,0,0,0,0,61539
107,0,0,11,0,61538
150,0,0,3,0,61537
100,0,0,10,0,61536
50,-1,0,0,0,61535
108,0,0,9,0,61534
125,-1,0,0,0,61533
110,0,0,9,0,61532
104,0,0,10,0,61531
145,-2,0,0,0,61530
157,0,0,10,0,61529
116,0,0,0,0,61528
121,0,0,0,0,61527
98,0,0,8,0,61526
146,-2,0,0,0,61525
113,1,0,0,0,61524
164,-2,0,0,0,61523
50,-3,0,0,0,61522
58,-3,0,0,0,61521
144,-2,0,0,0,61520
152,0,0,0,0,61519
241,0,0,1,0,61518
54,-2,0,0,0,61517
55,-2,0,0,0,61516
117,0,0,0,0,61515
161,0,0,12,0,61514
85,0,0,10,0,61513
106,0,0,9,0,61512
103,0,0,9,0,61511
120,-1,0,0,0,61510
242,0,0,1,0,61509
94,0,0,9,0,61508
50,-6,0,0,0,61507
92,0,0,9,0,61506
155,0,0,13,0,61505
115,-1,0,0,0,61504
83,0,0,4,0,61503
109,0,0,9,0,61502
4,-2,0,0,0,61501
116,-1,0,0,0,61500
146,-3,0,0,0,61499
151,0,0,0,0,61498
99,0,0,9,0,61497
78,1,0,0,0,61496
82,-1,0,0,0,61495
4,-3,0,0,0,61494
61,1,0,0,0,61493
148,0,0,10,0,61492
97,0,0,10,0,61491
163,-2,0,0,0,61490
61,-1,0,0,0,61489
54,-6,0,0,0,61488
166,-1,0,0,0,61487
122,0,0,0,0,61486
90,0,0,10,0,61485
50,-4,0,0,0,61484
55,-3,0,0,0,61483
88,0,0,12,0,61482
82,1,0,0,0,61481
123,0,0,0,0,61480
54,-3,0,0,0,61479
