index,x_offset,y_offset,x_advance,y_advance,codepoint
60,0,0,7,0,61470
63,0,0,6,0,61469
64,0,0,12,0,61468
6,0,0,9,0,61467
74,0,0,6,0,61466
25,0,0,10,0,61465
49,0,0,10,0,61464
40,0,0,12,0,61463
42,0,0,11,0,61462
23,0,0,9,0,61461
56,0,0,11,0,61460
52,0,0,11,0,61459
53,0,0,12,0,61458
38,0,0,10,0,61457
43,0,0,12,0,61456
47,0,0,18,0,61455
51,0,0,12,0,61454
282,0,0,6,0,61453
48,0,0,21,0,61452
242,0,0,9,0,61451
35,0,0,12,0,61450
93,0,0,9,0,61449
124,0,0,2,0,61448
113,0,0,1,0,61447
9,0,0,13,0,61446
45,0,0,12,0,61445
232,0,0,10,0,61444
126,0,0,1,0,61443
123,0,0,4,0,61442
244,0,0,10,0,61441
57,0,0,13,0,61440
259,0,0,11,0,61439
233,0,0,12,0,61438
221,0,0,10,0,61437
225,0,0,12,0,61436
278,0,0,4,0,61435
266,0,0,10,0,61434
235,0,0,13,0,61433
267,0,0,12,0,61432
163,0,0,12,0,61431
108,0,0,2,0,61430
136,0,0,9,0,61429
257,0,0,12,0,61428
223,0,0,12,0,61427
210,0,0,10,0,61426
255,0,0,10,0,61425
33,0,0,13,0,61424
238,0,0,11,0,61423
218,0,0,12,0,61422
234,0,0,11,0,61421
37,0,0,14,0,61420
117,0,0,2,0,61419
158,0,0,18,0,61418
153,0,0,11,0,61417
115,0,0,1,0,61416
30,0,0,12,0,61415
98,0,0,3,0,61414
262,0,0,13,0,61413
160,0,0,10,0,61412
269,0,0,12,0,61411
189,0,0,16,0,61410
54,0,0,10,0,61409
166,0,0,11,0,61408
28,0,0,12,0,61407
272,0,0,11,0,61406
208,0,0,9,0,61405
151,0,0,12,0,61404
161,0,0,12,0,61403
196,0,0,15,0,61402
10,0,0,13,0,61401
159,0,0,21,0,61400
138,0,0,10,0,61399
118,0,0,2,0,61398
252,0,0,12,0,61397
154,0,0,12,0,61396
128,0,0,2,0,61395
273,0,0,13,0,61394
279,0,0,10,0,61393
231,0,0,21,0,61392
127,0,0,2,0,61391
260,0,0,12,0,61390
149,0,0,10,0,61389
75,0,0,3,0,61388
228,0,0,13,0,61387
13,0,0,19,0,61386
156,0,0,13,0,61385
212,0,0,12,0,61384
216,0,0,13,0,61383
230,0,0,18,0,61382
100,0,0,0,0,61381
264,0,0,18,0,61380
55,0,0,13,0,61379
11,0,0,11,0,61378
17,0,0,12,0,61377
122,0,0,4,0,61376
131,0,0,2,0,61375
250,0,0,13,0,61374
226,0,0,12,0,61373
220,0,0,14,0,61372
214,0,0,12,0,61371
239,0,0,12,0,61370
46,0,0,13,0,61369
182,0,0,17,0,61368
167,0,0,13,0,61367
110,0,0,1,0,61366
268,0,0,11,0,61365
198,0,0,17,0,61364
41,0,0,12,0,61363
236,0,0,10,0,61362
82,0,0,11,0,61361
120,0,0,2,0,61360
81,0,0,11,0,61359
20,0,0,12,0,61358
172,0,0,15,0,61357
103,0,0,2,0,61356
65,0,0,2,0,61355
187,0,0,17,0,61354
254,0,0,14,0,61353
90,0,0,11,0,61352
248,0,0,12,0,61351
265,0,0,21,0,61350
286,0,0,27,0,61349
83,0,0,11,0,61348
246,0,0,12,0,61347
112,0,0,2,0,61346
84,0,0,11,0,61345
89,0,0,11,0,61344
142,0,0,12,0,61343
86,0,0,11,0,61342
87,0,0,11,0,61341
157,0,0,13,0,61340
85,0,0,11,0,61339
88,0,0,11,0,61338
164,0,0,10,0,61337
203,0,0,16,0,61336
285,0,0,24,0,61335
146,0,0,12,0,61334
27,0,0,12,0,61333
72,0,0,7,0,61332
140,0,0,12,0,61331
24,0,0,13,0,61330
124,0,0,1,0,61329
170,0,0,14,0,61328
185,0,0,15,0,61327
180,0,0,18,0,61326
105,0,0,1,0,61325
270,0,0,10,0,61324
144,0,0,13,0,61323
39,0,0,12,0,61322
116,0,0,1,0,61321
224,0,0,12,0,61320
114,0,0,1,0,61319
287,0,0,9,0,61318
152,0,0,12,0,61317
194,0,0,23,0,61316
390,0,0,2,0,61315
237,0,0,12,0,61314
26,0,0,16,0,61313
162,0,0,11,0,61312
148,0,0,14,0,61311
337,0,0,7,0,61310
229,0,0,13,0,61309
18,0,0,12,0,61308
44,0,0,12,0,61307
301,0,0,3,0,61306
32,0,0,15,0,61305
21,0,0,12,0,61304
283,0,0,12,0,61303
199,0,0,16,0,61302
271,0,0,13,0,61301
290,0,0,9,0,61300
98,0,0,2,0,61299
126,0,0,0,0,61298
165,0,0,13,0,61297
182,0,0,16,0,61296
195,0,0,26,0,61295
93,0,0,8,0,61294
263,0,0,13,0,61293
481,0,0,9,0,61292
137,0,0,13,0,61291
132,0,0,1,0,61290
113,0,0,0,0,61289
261,0,0,12,0,61288
227,0,0,12,0,61287
19,0,0,13,0,61286
170,0,0,13,0,61285
291,0,0,9,0,61284
198,0,0,16,0,61283
115,0,0,0,0,61282
200,0,0,17,0,61281
293,0,0,12,0,61280
61,0,0,5,0,61279
256,0,0,12,0,61278
189,0,0,15,0,61277
34,0,0,10,0,61276
109,0,0,0,0,61275
155,0,0,12,0,61274
50,0,0,14,0,61273
222,0,0,12,0,61272
177,0,0,17,0,61271
12,0,0,16,0,61270
128,0,0,1,0,61269
14,0,0,25,0,61268
243,0,0,13,0,61267
258,0,0,12,0,61266
123,0,0,3,0,61265
117,0,0,1,0,61264
122,0,0,3,0,61263
108,0,0,1,0,61262
352,0,0,7,0,61261
180,0,0,16,0,61260
185,0,0,14,0,61259
7,0,0,5,0,61258
277,0,0,5,0,61257
299,0,0,4,0,61256
150,0,0,12,0,61255
184,0,0,18,0,61254
276,0,0,11,0,61253
129,0,0,3,0,61252
190,0,0,17,0,61251
203,0,0,15,0,61250
61,0,0,4,0,61249
121,0,0,2,0,61248
104,0,0,2,0,61247
281,0,0,10,0,61246
175,0,0,17,0,61245
209,0,0,14,0,61244
201,0,0,15,0,61243
119,0,0,2,0,61242
36,0,0,12,0,61241
31,0,0,22,0,61240
72,0,0,6,0,61239
292,0,0,12,0,61238
288,0,0,9,0,61237
139,0,0,15,0,61236
192,0,0,17,0,61235
50,0,0,13,0,61234
22,0,0,12,0,61233
245,0,0,16,0,61232
76,0,0,14,0,61231
336,0,0,4,0,61230
342,0,0,7,0,61229
302,0,0,3,0,61228
140,0,0,13,0,61227
41,0,0,13,0,61226
118,0,0,1,0,61225
191,0,0,17,0,61224
29,0,0,13,0,61223
15,0,0,19,0,61222
99,0,0,2,0,61221
337,0,0,6,0,61220
76,0,0,13,0,61219
120,0,0,1,0,61218
280,0,0,4,0,61217
350,0,0,7,0,61216
143,0,0,22,0,61215
340,0,0,6,0,61214
311,0,0,7,0,61213
182,0,0,15,0,61212
277,0,0,3,0,61211
299,0,0,2,0,61210
195,0,0,25,0,61209
338,0,0,2,0,61208
296,0,0,12,0,61207
186,0,0,17,0,61206
217,0,0,10,0,61205
312,0,0,4,0,61204
202,0,0,17,0,61203
301,0,0,2,0,61202
145,0,0,10,0,61201
322,0,0,7,0,61200
130,0,0,2,0,61199
200,0,0,16,0,61198
204,0,0,17,0,61197
119,0,0,1,0,61196
98,0,0,4,0,61195
67,0,0,0,0,61194
331,0,0,6,0,61193
131,0,0,1,0,61192
101,0,0,4,0,61191
345,0,0,6,0,61190
211,0,0,16,0,61189
110,0,0,0,0,61188
329,0,0,6,0,61187
303,0,0,4,0,61186
251,0,0,10,0,61185
141,0,0,13,0,61184
106,0,0,3,0,61183
187,0,0,16,0,61182
103,0,0,1,0,61181
297,0,0,5,0,61180
336,0,0,3,0,61179
305,0,0,5,0,61178
287,0,0,10,0,61177
112,0,0,1,0,61176
194,0,0,22,0,61175
215,0,0,22,0,61174
327,0,0,3,0,61173
172,0,0,14,0,61172
219,0,0,12,0,61171
190,0,0,16,0,61170
127,0,0,1,0,61169
249,0,0,22,0,61168
247,0,0,13,0,61167
0,0,0,9,0,61166
171,0,0,18,0,61165
73,0,0,5,0,61164
213,0,0,13,0,61163
309,0,0,5,0,61162
284,0,0,28,0,61161
314,0,0,4,0,61160
298,0,0,3,0,61159
107,0,0,2,0,61158
167,0,0,12,0,61157
227,0,0,13,0,61156
188,0,0,17,0,61155
396,0,0,2,0,61154
