index,x_offset,y_offset,x_advance,y_advance,codepoint
131,0,0,4,0,63743
69,0,0,10,0,63742
49,0,0,10,0,63741
53,0,0,10,0,63740
70,0,0,10,0,63739
83,0,0,14,0,63738
220,0,0,4,0,63737
78,0,0,4,0,63736
76,0,0,10,0,63735
65,0,0,10,0,63734
79,0,0,14,0,63733
74,0,0,10,0,63732
77,0,0,15,0,63731
109,0,0,0,0,63730
67,0,0,9,0,63729
54,0,0,10,0,63728
60,0,0,10,0,63727
132,0,0,4,0,63726
115,0,0,0,0,63725
139,0,0,6,0,63724
109,-1,0,0,0,63723
146,-1,0,0,0,63722
80,0,0,5,0,63721
146,0,0,0,0,63720
105,-1,0,0,0,63719
105,0,0,0,0,63718
250,0,0,14,0,63717
236,0,0,14,0,63716
278,0,0,14,0,63715
137,0,0,0,0,63714
51,0,0,10,0,63713
86,0,0,10,0,63712
117,0,0,0,0,63711
288,0,0,14,0,63710
56,0,0,10,0,63709
209,0,0,0,0,63708
204,0,0,0,0,63707
276,0,0,14,0,63706
119,0,0,0,0,63705
302,0,0,19,0,63704
64,0,0,19,0,63703
137,1,0,0,0,63702
84,0,0,14,0,63701
50,0,0,10,0,63700
162,0,0,9,0,63699
68,0,0,10,0,63698
133,0,0,4,0,63697
115,0,-4,0,0,63696
73,0,0,10,0,63695
277,0,0,14,0,63694
292,0,0,10,0,63693
75,0,0,10,0,63692
222,0,0,0,0,63691
258,0,0,14,0,63690
218,0,0,5,0,63689
58,0,0,15,0,63688
308,0,0,15,0,63687
223,0,0,0,0,63686
266,0,0,24,0,63685
272,0,0,14,0,63684
268,0,0,14,0,63683
227,0,0,5,0,63682
286,0,0,14,0,63681
127,0,0,4,0,63680
111,-1,0,0,0,63679
240,0,0,14,0,63678
273,0,0,14,0,63677
106,1,1,0,0,63676
216,0,0,0,0,63675
294,0,0,19,0,63674
185,0,0,0,0,63673
270,0,0,14,0,63672
118,1,0,0,0,63671
284,0,0,14,0,63670
290,0,0,19,0,63669
246,0,0,14,0,63668
210,0,0,5,0,63667
85,0,0,13,0,63666
238,0,0,14,0,63665
174,0,0,10,0,63664
66,0,0,10,0,63663
137,-1,0,0,0,63662
111,0,0,0,0,63661
156,0,0,0,0,63660
208,0,0,0,0,63659
140,0,0,4,0,63658
116,2,0,0,0,63657
304,0,0,19,0,63656
115,0,-5,0,0,63655
173,0,0,10,0,63654
209,-4,0,0,0,63653
113,0,0,0,0,63652
137,-1,-1,0,0,63651
222,-5,0,0,0,63650
296,0,0,10,0,63649
141,-5,0,0,0,63648
248,0,0,14,0,63647
141,-1,0,0,0,63646
196,0,0,0,0,63645
207,0,0,0,0,63644
154,0,0,0,0,63643
156,-1,0,0,0,63642
244,0,0,14,0,63641
189,0,0,0,0,63640
216,-4,0,0,0,63639
175,0,0,12,0,63638
117,0,-5,0,0,63637
334,0,0,9,0,63636
209,-5,0,0,0,63635
198,0,0,0,0,63634
274,0,0,14,0,63633
106,1,0,0,0,63632
59,0,0,15,0,63631
52,0,0,14,0,63630
110,1,0,0,0,63629
102,0,0,9,0,63628
213,0,0,0,0,63627
184,0,0,0,0,63626
119,0,-5,0,0,63625
183,0,0,0,0,63624
206,0,0,0,0,63623
165,0,0,9,0,63622
101,0,0,10,0,63621
99,0,0,10,0,63620
306,0,0,18,0,63619
256,0,0,19,0,63618
322,0,0,9,0,63617
117,2,0,0,0,63616
115,2,0,0,0,63615
123,0,0,4,0,63614
150,-1,0,0,0,63613
182,0,0,10,0,63612
176,0,0,13,0,63611
326,0,0,9,0,63610
188,0,0,0,0,63609
178,0,0,10,0,63608
177,0,0,10,0,63607
231,0,0,0,0,63606
221,0,0,4,0,63605
91,0,0,10,0,63604
119,2,0,0,0,63603
194,0,0,0,0,63602
109,-5,0,0,0,63601
150,-5,0,0,0,63600
282,0,0,14,0,63599
55,0,0,10,0,63598
207,-5,0,0,0,63597
96,0,0,11,0,63596
181,0,0,10,0,63595
57,0,0,20,0,63594
117,0,-4,0,0,63593
252,0,0,24,0,63592
179,0,0,10,0,63591
180,0,0,12,0,63590
185,-4,0,0,0,63589
144,0,0,0,0,63588
191,0,0,0,0,63587
89,0,0,10,0,63586
154,-1,0,0,0,63585
204,-5,0,0,0,63584
216,1,0,0,0,63583
198,-5,0,0,0,63582
148,-1,0,0,0,63581
195,-4,0,0,0,63580
113,-1,0,0,0,63579
222,-4,0,0,0,63578
120,1,0,0,0,63577
199,-5,0,0,0,63576
223,-4,0,0,0,63575
62,0,0,10,0,63574
254,0,0,19,0,63573
115,-1,0,0,0,63572
206,-4,0,0,0,63571
117,-1,0,0,0,63570
143,2,0,0,0,63569
138,0,0,0,0,63568
223,-5,0,0,0,63567
204,-9,0,0,0,63566
196,-5,0,0,0,63565
229,-4,0,0,0,63564
189,-5,0,0,0,63563
247,0,0,14,0,63562
129,0,0,4,0,63561
110,1,1,0,0,63560
143,-3,0,0,0,63559
183,-4,0,0,0,63558
138,-1,0,0,0,63557
237,0,0,14,0,63556
144,-1,0,0,0,63555
195,0,0,0,0,63554
148,-5,0,0,0,63553
305,0,0,19,0,63552
105,-5,0,0,0,63551
150,0,0,0,0,63550
196,-9,0,0,0,63549
164,0,0,7,0,63548
191,-5,0,0,0,63547
