index,x_offset,y_offset,x_advance,y_advance,codepoint
131,0,0,4,0,60929
69,0,0,10,0,60928
49,0,0,10,0,60927
53,0,0,10,0,60926
70,0,0,10,0,60925
83,0,0,14,0,60924
220,0,0,4,0,60923
78,0,0,4,0,60922
76,0,0,10,0,60921
65,0,0,10,0,60920
79,0,0,14,0,60919
74,0,0,10,0,60918
77,0,0,15,0,60917
109,0,0,0,0,60916
67,0,0,9,0,60915
54,0,0,10,0,60914
60,0,0,10,0,60913
132,0,0,4,0,60912
115,0,0,0,0,60911
139,0,0,6,0,60910
109,-1,0,0,0,60909
146,-1,0,0,0,60908
80,0,0,5,0,60907
146,0,0,0,0,60906
105,-1,0,0,0,60905
105,0,0,0,0,60904
250,0,0,14,0,60903
236,0,0,14,0,60902
278,0,0,14,0,60901
137,0,0,0,0,60900
51,0,0,10,0,60899
86,0,0,10,0,60898
117,0,0,0,0,60897
288,0,0,14,0,60896
56,0,0,10,0,60895
209,0,0,0,0,60894
204,0,0,0,0,60893
276,0,0,14,0,60892
119,0,0,0,0,60891
302,0,0,19,0,60890
64,0,0,19,0,60889
137,1,0,0,0,60888
84,0,0,14,0,60887
50,0,0,10,0,60886
162,0,0,9,0,60885
68,0,0,10,0,60884
133,0,0,4,0,60883
115,0,-4,0,0,60882
73,0,0,10,0,60881
277,0,0,14,0,60880
292,0,0,10,0,60879
75,0,0,10,0,60878
222,0,0,0,0,60877
258,0,0,14,0,60876
218,0,0,5,0,60875
58,0,0,15,0,60874
308,0,0,15,0,60873
223,0,0,0,0,60872
266,0,0,24,0,60871
272,0,0,14,0,60870
268,0,0,14,0,60869
227,0,0,5,0,60868
286,0,0,14,0,60867
127,0,0,4,0,60866
111,-1,0,0,0,60865
240,0,0,14,0,60864
273,0,0,14,0,60863
106,1,1,0,0,60862
216,0,0,0,0,60861
294,0,0,19,0,60860
185,0,0,0,0,60859
270,0,0,14,0,60858
118,1,0,0,0,60857
284,0,0,14,0,60856
290,0,0,19,0,60855
246,0,0,14,0,60854
210,0,0,5,0,60853
85,0,0,13,0,60852
238,0,0,14,0,60851
174,0,0,10,0,60850
66,0,0,10,0,60849
137,-1,0,0,0,60848
111,0,0,0,0,60847
156,0,0,0,0,60846
208,0,0,0,0,60845
140,0,0,4,0,60844
116,2,0,0,0,60843
304,0,0,19,0,60842
115,0,-5,0,0,60841
173,0,0,10,0,60840
209,-4,0,0,0,60839
113,0,0,0,0,60838
137,-1,-1,0,0,60837
222,-5,0,0,0,60836
296,0,0,10,0,60835
141,-5,0,0,0,60834
248,0,0,14,0,60833
141,-1,0,0,0,60832
196,0,0,0,0,60831
207,0,0,0,0,60830
154,0,0,0,0,60829
156,-1,0,0,0,60828
244,0,0,14,0,60827
189,0,0,0,0,60826
216,-4,0,0,0,60825
175,0,0,12,0,60824
117,0,-5,0,0,60823
334,0,0,9,0,60822
209,-5,0,0,0,60821
198,0,0,0,0,60820
274,0,0,14,0,60819
106,1,0,0,0,60818
59,0,0,15,0,60817
52,0,0,14,0,60816
110,1,0,0,0,60815
102,0,0,9,0,60814
213,0,0,0,0,60813
184,0,0,0,0,60812
119,0,-5,0,0,60811
183,0,0,0,0,60810
206,0,0,0,0,60809
165,0,0,9,0,60808
101,0,0,10,0,60807
99,0,0,10,0,60806
306,0,0,18,0,60805
256,0,0,19,0,60804
322,0,0,9,0,60803
117,2,0,0,0,60802
115,2,0,0,0,60801
123,0,0,4,0,60800
150,-1,0,0,0,60799
182,0,0,10,0,60798
176,0,0,13,0,60797
326,0,0,9,0,60796
188,0,0,0,0,60795
178,0,0,10,0,60794
177,0,0,10,0,60793
231,0,0,0,0,60792
221,0,0,4,0,60791
91,0,0,10,0,60790
119,2,0,0,0,60789
194,0,0,0,0,60788
109,-5,0,0,0,60787
150,-5,0,0,0,60786
282,0,0,14,0,60785
55,0,0,10,0,60784
207,-5,0,0,0,60783
96,0,0,11,0,60782
181,0,0,10,0,60781
57,0,0,20,0,60780
117,0,-4,0,0,60779
252,0,0,24,0,60778
179,0,0,10,0,60777
180,0,0,12,0,60776
185,-4,0,0,0,60775
144,0,0,0,0,60774
191,0,0,0,0,60773
89,0,0,10,0,60772
154,-1,0,0,0,60771
204,-5,0,0,0,60770
216,1,0,0,0,60769
