index,x_offset,y_offset,x_advance,y_advance,codepoint
64,0,0,8,0,60071
65,0,0,4,0,60070
67,0,0,5,0,60069
71,0,0,11,0,60068
49,0,0,16,0,60067
23,0,0,16,0,60066
38,0,0,16,0,60065
42,0,0,14,0,60064
50,0,0,12,0,60063
48,0,0,11,0,60062
72,0,0,9,0,60061
55,0,0,15,0,60060
77,0,0,0,0,60059
6,0,0,7,0,60058
44,0,0,14,0,60057
58,0,0,19,0,60056
52,0,0,13,0,60055
163,0,0,24,0,60054
33,0,0,9,0,60053
203,0,0,20,0,60052
196,0,0,27,0,60051
162,0,0,4,0,60050
118,0,0,12,0,60049
37,0,0,21,0,60048
53,0,0,11,0,60047
40,0,0,10,0,60046
160,0,0,4,0,60045
119,0,0,19,0,60044
66,0,0,4,0,60043
56,0,0,16,0,60042
51,0,0,11,0,60041
242,0,0,6,0,60040
25,0,0,14,0,60039
208,0,0,14,0,60038
9,0,0,23,0,60037
117,0,0,17,0,60036
68,0,0,5,0,60035
28,0,0,15,0,60034
184,0,0,9,0,60033
176,0,0,15,0,60032
59,0,0,19,0,60031
57,0,0,18,0,60030
175,0,0,24,0,60029
191,0,0,23,0,60028
47,0,0,10,0,60027
46,0,0,20,0,60026
30,0,0,15,0,60025
120,0,0,16,0,60024
222,0,0,13,0,60023
223,0,0,22,0,60022
41,0,0,14,0,60021
161,0,0,4,0,60020
220,0,0,11,0,60019
54,0,0,10,0,60018
73,0,0,22,0,60017
35,0,0,19,0,60016
206,0,0,21,0,60015
69,0,0,4,0,60014
205,0,0,17,0,60013
10,0,0,26,0,60012
167,0,0,26,0,60011
17,0,0,20,0,60010
13,0,0,11,0,60009
173,0,0,17,0,60008
11,0,0,15,0,60007
45,0,0,18,0,60006
24,0,0,16,0,60005
216,0,0,19,0,60004
200,0,0,18,0,60003
183,0,0,34,0,60002
7,0,0,5,0,60001
201,0,0,15,0,60000
215,0,0,19,0,59999
204,0,0,17,0,59998
83,0,0,12,0,59997
39,0,0,14,0,59996
233,0,0,30,0,59995
190,0,0,21,0,59994
20,0,0,12,0,59993
26,0,0,21,0,59992
219,0,0,16,0,59991
164,0,0,28,0,59990
243,0,0,6,0,59989
180,0,0,26,0,59988
232,0,0,19,0,59987
231,0,0,19,0,59986
34,0,0,10,0,59985
202,0,0,24,0,59984
116,0,0,24,0,59983
197,0,0,26,0,59982
187,0,0,31,0,59981
225,0,0,15,0,59980
179,0,0,37,0,59979
194,0,0,23,0,59978
18,0,0,20,0,59977
221,0,0,13,0,59976
21,0,0,20,0,59975
195,0,0,26,0,59974
32,0,0,23,0,59973
78,-9,2,0,0,59972
168,0,0,14,0,59971
78,-5,2,0,0,59970
199,0,0,10,0,59969
78,-3,2,0,0,59968
226,0,0,24,0,59967
27,0,0,17,0,59966
178,0,0,30,0,59965
78,-7,2,0,0,59964
177,0,0,15,0,59963
166,0,0,16,0,59962
63,0,0,7,0,59961
235,0,0,19,0,59960
78,-4,2,0,0,59959
19,0,0,31,0,59958
12,0,0,27,0,59957
171,0,0,19,0,59956
182,0,0,26,0,59955
29,0,0,21,0,59954
209,0,0,14,0,59953
353,0,0,9,0,59952
36,0,0,21,0,59951
228,0,0,16,0,59950
14,0,0,23,0,59949
192,0,0,21,0,59948
238,0,0,4,0,59947
78,-6,2,0,0,59946
207,0,0,25,0,59945
172,0,0,14,0,59944
214,0,0,20,0,59943
246,0,0,5,0,59942
77,3,0,0,0,59941
234,0,0,19,0,59940
22,0,0,24,0,59939
211,0,0,20,0,59938
100,0,0,12,0,59937
193,0,0,22,0,59936
77,3,-1,0,0,59935
97,0,0,14,0,59934
210,0,0,18,0,59933
189,0,0,24,0,59932
15,0,0,14,0,59931
229,0,0,16,0,59930
96,0,0,9,0,59929
236,0,0,22,0,59928
78,-1,2,0,0,59927
105,0,0,18,0,59926
98,0,0,13,0,59925
247,0,0,6,0,59924
121,0,0,19,0,59923
170,0,0,22,0,59922
99,0,0,17,0,59921
101,0,0,15,0,59920
104,0,0,15,0,59919
31,0,0,26,0,59918
102,0,0,19,0,59917
91,0,0,21,0,59916
103,0,0,12,0,59915
78,-10,2,0,0,59914
185,0,0,19,0,59913
218,0,0,11,0,59912
78,4,2,0,0,59911
237,0,0,19,0,59910
244,0,0,5,0,59909
174,0,0,17,0,59908
240,0,0,4,0,59907
16,0,0,18,0,59906
248,0,0,5,0,59905
78,-2,2,0,0,59904
224,0,0,15,0,59903
343,0,0,4,0,59902
78,0,0,0,0,59901
62,0,0,0,0,59900
198,0,0,16,0,59899
239,0,0,5,0,59898
186,0,0,19,0,59897
217,0,0,19,0,59896
115,0,0,18,0,59895
