index,x_offset,y_offset,x_advance,y_advance,codepoint
381,0,0,0,0,63743
379,0,0,5,0,63742
368,0,0,7,0,63741
4,0,0,18,0,63740
372,0,0,10,0,63739
8,0,0,10,0,63738
29,0,0,11,0,63737
20,0,0,18,0,63736
209,0,0,0,0,63735
34,0,0,18,0,63734
25,0,0,11,0,63733
369,0,0,0,0,63732
32,0,0,18,0,63731
24,0,0,9,0,63730
37,0,0,17,0,63729
31,0,0,11,0,63728
9,0,0,11,0,63727
381,-1,0,0,0,63726
14,0,0,17,0,63725
382,0,0,4,0,63724
48,0,0,0,0,63723
5,0,0,11,0,63722
47,0,0,4,0,63721
369,-1,0,0,0,63720
381,1,0,0,0,63719
33,0,0,11,0,63718
360,0,0,0,0,63717
378,0,0,0,0,63716
30,0,0,18,0,63715
384,0,0,0,0,63714
60,0,0,4,0,63713
61,0,0,7,0,63712
26,0,0,11,0,63711
21,0,0,18,0,63710
377,0,0,0,0,63709
10,0,0,18,0,63708
262,0,0,10,0,63707
110,0,0,18,0,63706
367,0,0,4,0,63705
210,0,0,4,0,63704
370,0,0,0,0,63703
373,-1,0,0,0,63702
6,0,0,10,0,63701
22,0,0,10,0,63700
35,0,0,18,0,63699
122,0,0,5,0,63698
377,-1,0,0,0,63697
121,0,0,5,0,63696
370,-1,0,0,0,63695
198,0,0,4,0,63694
384,-1,0,0,0,63693
277,0,0,11,0,63692
28,0,0,18,0,63691
103,0,0,10,0,63690
395,-2,0,0,0,63689
123,0,0,5,0,63688
209,-1,0,0,0,63687
48,-1,0,0,0,63686
199,0,0,4,0,63685
117,0,0,5,0,63684
373,0,0,0,0,63683
84,0,0,5,0,63682
27,0,0,11,0,63681
76,0,0,10,0,63680
65,0,0,18,0,63679
11,0,0,11,0,63678
420,0,0,11,0,63677
369,3,0,0,0,63676
376,0,0,0,0,63675
200,0,0,4,0,63674
82,0,0,0,0,63673
38,0,0,18,0,63672
106,0,0,18,0,63671
63,0,0,14,0,63670
178,0,0,0,0,63669
104,0,0,10,0,63668
378,-1,0,0,0,63667
115,0,0,10,0,63666
51,0,0,10,0,63665
363,0,0,4,0,63664
19,0,0,20,0,63663
378,5,0,0,0,63662
120,0,0,0,0,63661
52,0,0,11,0,63660
361,0,0,7,0,63659
80,0,0,0,0,63658
23,0,0,11,0,63657
62,0,0,10,0,63656
228,0,0,10,0,63655
390,0,0,0,0,63654
592,0,0,1,0,63653
42,0,0,10,0,63652
396,0,0,7,0,63651
50,0,0,10,0,63650
174,0,0,4,0,63649
116,-1,0,0,0,63648
111,0,0,18,0,63647
374,0,0,0,0,63646
17,0,0,10,0,63645
118,0,0,9,0,63644
254,-4,0,0,0,63643
81,0,0,0,0,63642
398,0,0,3,0,63641
58,0,0,10,0,63640
41,0,0,10,0,63639
53,0,0,10,0,63638
59,0,0,11,0,63637
57,0,0,10,0,63636
56,0,0,11,0,63635
120,3,0,0,0,63634
119,0,0,0,0,63633
54,0,0,10,0,63632
366,0,0,4,0,63631
55,0,0,11,0,63630
370,1,0,0,0,63629
215,0,0,0,0,63628
221,0,0,0,0,63627
376,-1,0,0,0,63626
245,0,0,0,0,63625
189,0,0,0,0,63624
254,0,0,0,0,63623
362,0,0,0,0,63622
273,0,0,0,0,63621
258,0,0,0,0,63620
265,0,0,0,0,63619
386,0,0,9,0,63618
81,-1,0,0,0,63617
362,-1,0,0,0,63616
307,0,0,0,0,63615
369,1,0,0,0,63614
213,0,0,0,0,63613
40,0,0,21,0,63612
370,3,0,0,0,63611
375,0,0,0,0,63610
211,-4,0,0,0,63609
593,0,0,1,0,63608
260,0,0,0,0,63607
16,0,0,10,0,63606
375,-1,0,0,0,63605
78,0,0,10,0,63604
108,0,0,17,0,63603
129,0,0,5,0,63602
49,0,0,25,0,63601
237,0,0,10,0,63600
371,0,0,0,0,63599
377,3,0,0,0,63598
43,0,0,10,0,63597
173,0,0,5,0,63596
15,0,0,10,0,63595
64,0,0,10,0,63594
590,0,0,0,0,63593
178,-1,0,0,0,63592
195,0,0,4,0,63591
594,0,0,2,0,63590
373,1,0,0,0,63589
256,-4,0,0,0,63588
232,0,0,17,0,63587
360,-1,0,0,0,63586
116,-2,0,0,0,63585
271,0,0,0,0,63584
119,-1,0,0,0,63583
269,0,0,0,0,63582
377,1,0,0,0,63581
80,-1,0,0,0,63580
120,-1,0,0,0,63579
394,-1,0,0,0,63578
36,0,0,10,0,63577
