index,x_offset,y_offset,x_advance,y_advance,codepoint
381,0,0,0,0,59827
379,0,0,5,0,59826
368,0,0,7,0,59825
4,0,0,18,0,59824
372,0,0,10,0,59823
8,0,0,10,0,59822
29,0,0,11,0,59821
20,0,0,18,0,59820
209,0,0,0,0,59819
34,0,0,18,0,59818
25,0,0,11,0,59817
369,0,0,0,0,59816
32,0,0,18,0,59815
24,0,0,9,0,59814
37,0,0,17,0,59813
31,0,0,11,0,59812
9,0,0,11,0,59811
381,-1,0,0,0,59810
14,0,0,17,0,59809
382,0,0,4,0,59808
48,0,0,0,0,59807
5,0,0,11,0,59806
47,0,0,4,0,59805
369,-1,0,0,0,59804
381,1,0,0,0,59803
33,0,0,11,0,59802
360,0,0,0,0,59801
378,0,0,0,0,59800
30,0,0,18,0,59799
384,0,0,0,0,59798
60,0,0,4,0,59797
61,0,0,7,0,59796
26,0,0,11,0,59795
21,0,0,18,0,59794
377,0,0,0,0,59793
10,0,0,18,0,59792
262,0,0,10,0,59791
110,0,0,18,0,59790
367,0,0,4,0,59789
210,0,0,4,0,59788
370,0,0,0,0,59787
373,-1,0,0,0,59786
6,0,0,10,0,59785
22,0,0,10,0,59784
35,0,0,18,0,59783
122,0,0,5,0,59782
377,-1,0,0,0,59781
121,0,0,5,0,59780
370,-1,0,0,0,59779
198,0,0,4,0,59778
384,-1,0,0,0,59777
277,0,0,11,0,59776
28,0,0,18,0,59775
103,0,0,10,0,59774
395,-2,0,0,0,59773
123,0,0,5,0,59772
209,-1,0,0,0,59771
48,-1,0,0,0,59770
199,0,0,4,0,59769
117,0,0,5,0,59768
373,0,0,0,0,59767
84,0,0,5,0,59766
27,0,0,11,0,59765
76,0,0,10,0,59764
65,0,0,18,0,59763
11,0,0,11,0,59762
420,0,0,11,0,59761
369,3,0,0,0,59760
376,0,0,0,0,59759
200,0,0,4,0,59758
82,0,0,0,0,59757
38,0,0,18,0,59756
106,0,0,18,0,59755
63,0,0,14,0,59754
178,0,0,0,0,59753
104,0,0,10,0,59752
378,-1,0,0,0,59751
115,0,0,10,0,59750
51,0,0,10,0,59749
363,0,0,4,0,59748
19,0,0,20,0,59747
378,5,0,0,0,59746
120,0,0,0,0,59745
52,0,0,11,0,59744
361,0,0,7,0,59743
80,0,0,0,0,59742
23,0,0,11,0,59741
62,0,0,10,0,59740
228,0,0,10,0,59739
390,0,0,0,0,59738
592,0,0,1,0,59737
42,0,0,10,0,59736
396,0,0,7,0,59735
50,0,0,10,0,59734
174,0,0,4,0,59733
116,-1,0,0,0,59732
111,0,0,18,0,59731
374,0,0,0,0,59730
17,0,0,10,0,59729
118,0,0,9,0,59728
254,-4,0,0,0,59727
81,0,0,0,0,59726
398,0,0,3,0,59725
58,0,0,10,0,59724
41,0,0,10,0,59723
53,0,0,10,0,59722
59,0,0,11,0,59721
57,0,0,10,0,59720
56,0,0,11,0,59719
120,3,0,0,0,59718
119,0,0,0,0,59717
54,0,0,10,0,59716
366,0,0,4,0,59715
55,0,0,11,0,59714
370,1,0,0,0,59713
215,0,0,0,0,59712
221,0,0,0,0,59711
376,-1,0,0,0,59710
245,0,0,0,0,59709
189,0,0,0,0,59708
254,0,0,0,0,59707
362,0,0,0,0,59706
273,0,0,0,0,59705
258,0,0,0,0,59704
265,0,0,0,0,59703
386,0,0,9,0,59702
81,-1,0,0,0,59701
362,-1,0,0,0,59700
307,0,0,0,0,59699
369,1,0,0,0,59698
213,0,0,0,0,59697
40,0,0,21,0,59696
370,3,0,0,0,59695
375,0,0,0,0,59694
211,-4,0,0,0,59693
593,0,0,1,0,59692
260,0,0,0,0,59691
16,0,0,10,0,59690
375,-1,0,0,0,59689
78,0,0,10,0,59688
108,0,0,17,0,59687
129,0,0,5,0,59686
49,0,0,25,0,59685
237,0,0,10,0,59684
371,0,0,0,0,59683
377,3,0,0,0,59682
43,0,0,10,0,59681
173,0,0,5,0,59680
15,0,0,10,0,59679
64,0,0,10,0,59678
590,0,0,0,0,59677
178,-1,0,0,0,59676
195,0,0,4,0,59675
594,0,0,2,0,59674
373,1,0,0,0,59673
256,-4,0,0,0,59672
232,0,0,17,0,59671
360,-1,0,0,0,59670
116,-2,0,0,0,59669
271,0,0,0,0,59668
119,-1,0,0,0,59667
269,0,0,0,0,59666
377,1,0,0,0,59665
80,-1,0,0,0,59664
120,-1,0,0,0,59663
394,-1,0,0,0,59662
36,0,0,10,0,59661
596,0,0,2,0,59660
251,0,0,20,0,59659
7,0,0,18,0,59658
378,3,0,0,0,59657
48,4,0,0,0,59656
179,1,0,0,0,59655
223,0,0,0,0,59654
380,0,0,0,0,59653
45,0,0,21,0,59652
13,0,0,10,0,59651
180,2,0,0,0,59650
252,-5,0,0,0,59649
179,0,0,0,0,59648
12,0,0,14,0,59647
39,0,0,17,0,59646
245,-4,0,0,0,59645
116,3,0,0,0,59644
112,0,0,17,0,59643
231,0,0,10,0,59642
311,0,0,0,0,59641
373,3,0,0,0,59640
225,0,0,0,0,59639
482,0,0,12,0,59638
189,-3,0,0,0,59637
194,0,0,4,0,59636
591,0,0,1,0,59635
280,-4,0,0,0,59634
381,3,0,0,0,59633
135,0,0,11,0,59632
134,0,0,11,0,59631
125,0,0,5,0,59630
124,0,0,7,0,59629
222,1,0,0,0,59628
6,0,0,13,0,59627
373,3,6,0,0,59626
263,0,0,0,0,59625
131,0,0,10,0,59624
132,0,0,11,0,59623
133,0,0,11,0,59622
139,0,0,10,0,59621
138,0,0,10,0,59620
136,0,0,11,0,59619
137,0,0,9,0,59618
85,0,0,10,0,59617
130,0,0,12,0,59616
374,1,0,0,0,59615
174,0,0,7,0,59614
381,0,-1,0,0,59613
174,0,0,9,0,59612
211,0,0,0,0,59611
86,0,0,6,0,59610
595,0,0,2,0,59609
250,0,0,20,0,59608
25,0,0,12,0,59607
421,0,0,4,0,59606
374,-1,0,0,0,59605
179,-1,0,0,0,59604
44,0,0,11,0,59603
227,0,0,4,0,59602
181,1,0,0,0,59601
282,0,0,0,0,59600
373,-3,0,0,0,59599
109,0,0,18,0,59598
374,3,0,0,0,59597
96,0,0,20,0,59596
289,-4,0,0,0,59595
369,0,-1,0,0,59594
92,0,0,7,0,59593
234,0,0,0,0,59592
380,5,0,0,0,59591
79,0,0,10,0,59590
201,0,0,4,0,59589
280,0,0,0,0,59588
226,1,0,0,0,59587
97,0,0,17,0,59586
256,0,0,0,0,59585
393,0,0,0,0,59584
113,0,0,11,0,59583
377,3,6,0,0,59582
278,0,0,0,0,59581
267,0,0,0,0,59580
119,3,0,0,0,59579
33,0,0,12,0,59578
5,0,0,13,0,59577
289,0,0,0,0,59576
91,0,0,7,0,59575
6,0,0,12,0,59574
245,-1,0,0,0,59573
186,0,0,0,0,59572
25,0,0,13,0,59571
364,0,0,4,0,59570
391,0,0,0,0,59569
93,0,0,7,0,59568
234,-4,0,0,0,59567
376,3,0,0,0,59566
105,0,0,11,0,59565
505,0,0,5,0,59564
147,0,0,18,0,59563
484,0,0,6,0,59562
490,-1,0,0,0,59561
89,0,0,7,0,59560
5,0,0,12,0,59559
156,0,0,18,0,59558
22,0,0,13,0,59557
244,0,0,10,0,59556
22,0,0,11,0,59555
183,0,0,0,0,59554
375,3,0,0,0,59553
236,0,0,10,0,59552
98,0,0,17,0,59551
503,0,0,18,0,59550
187,0,0,0,0,59549
95,0,0,7,0,59548
205,0,0,4,0,59547
378,2,0,0,0,59546
87,0,0,10,0,59545
378,1,0,0,0,59544
271,-4,0,0,0,59543
80,-3,0,0,0,59542
8,0,0,11,0,59541
377,0,-1,0,0,59540
114,0,0,18,0,59539
219,0,0,0,0,59538
217,0,0,0,0,59537
371,0,-1,0,0,59536
18,0,0,11,0,59535
309,0,0,0,0,59534
369,-3,0,0,0,59533
282,-4,0,0,0,59532
502,0,0,18,0,59531
66,0,0,10,0,59530
77,0,0,14,0,59529
402,0,0,4,0,59528
152,0,0,18,0,59527
492,0,0,9,0,59526
284,0,0,0,0,59525
223,-4,0,0,0,59524
94,0,0,7,0,59523
397,0,0,10,0,59522
238,0,0,10,0,59521
196,0,0,4,0,59520
377,-3,0,0,0,59519
370,0,-1,0,0,59518
33,0,0,13,0,59517
500,0,0,18,0,59516
389,0,0,0,0,59515
390,-1,0,0,0,59514
