index,x_offset,y_offset,x_advance,y_advance,codepoint
59,0,0,3,0,58998
46,0,0,12,0,58997
69,0,0,8,0,58996
829,0,0,12,0,58995
39,0,0,11,0,58994
42,0,0,11,0,58993
60,-11,0,0,0,58992
44,0,0,12,0,58991
60,-10,0,0,0,58990
52,0,0,11,0,58989
40,0,0,12,0,58988
850,0,0,11,0,58987
47,0,0,13,0,58986
62,0,0,5,0,58985
37,0,0,12,0,58984
22,0,0,12,0,58983
63,-8,0,0,0,58982
818,0,0,11,0,58981
825,0,0,12,0,58980
48,0,0,12,0,58979
50,0,0,12,0,58978
819,0,0,12,0,58977
30,0,0,11,0,58976
803,0,0,14,0,58975
34,0,0,12,0,58974
808,0,0,13,0,58973
25,0,0,11,0,58972
266,0,0,12,0,58971
212,0,0,7,0,58970
802,0,0,11,0,58969
78,0,0,13,0,58968
63,-10,0,0,0,58967
63,-11,0,0,0,58966
63,-13,0,0,0,58965
36,0,0,11,0,58964
813,0,0,11,0,58963
61,-12,0,0,0,58962
21,0,0,12,0,58961
845,0,0,11,0,58960
38,0,0,11,0,58959
45,0,0,12,0,58958
81,-7,0,0,0,58957
854,0,0,12,0,58956
81,-8,0,0,0,58955
6,0,0,5,0,58954
816,0,0,11,0,58953
125,0,0,12,0,58952
849,0,0,12,0,58951
215,-8,0,0,0,58950
811,0,0,11,0,58949
270,0,0,15,0,58948
41,0,0,14,0,58947
315,0,0,10,0,58946
31,0,0,12,0,58945
63,-12,0,0,0,58944
836,0,0,9,0,58943
288,0,0,12,0,58942
77,-5,0,0,0,58941
256,0,0,12,0,58940
810,-8,0,0,0,58939
853,0,0,9,0,58938
856,-8,0,0,0,58937
85,0,0,9,0,58936
120,0,0,11,0,58935
77,-3,0,0,0,58934
23,0,0,12,0,58933
61,-11,0,0,0,58932
852,0,0,9,0,58931
89,0,0,9,0,58930
319,0,0,12,0,58929
817,0,0,9,0,58928
77,-7,0,0,0,58927
835,0,0,9,0,58926
310,0,0,12,0,58925
847,0,0,9,0,58924
93,0,0,9,0,58923
848,0,0,9,0,58922
63,-9,0,0,0,58921
360,0,0,13,0,58920
65,-10,0,0,0,58919
294,0,0,13,0,58918
18,0,0,11,0,58917
368,0,0,11,0,58916
339,0,0,11,0,58915
286,0,0,12,0,58914
250,0,0,13,0,58913
322,0,0,12,0,58912
830,0,0,12,0,58911
279,0,0,10,0,58910
370,0,0,11,0,58909
374,0,0,11,0,58908
356,0,0,11,0,58907
107,0,0,12,0,58906
28,0,0,11,0,58905
76,0,0,3,0,58904
308,0,0,13,0,58903
161,0,0,10,0,58902
281,0,0,12,0,58901
65,-8,0,0,0,58900
7,0,0,7,0,58899
54,0,0,11,0,58898
383,0,0,10,0,58897
291,0,0,12,0,58896
134,0,0,12,0,58895
127,0,0,11,0,58894
75,-10,0,0,0,58893
842,0,0,11,0,58892
122,0,0,12,0,58891
77,-4,0,0,0,58890
320,0,0,12,0,58889
336,0,0,12,0,58888
856,-13,0,0,0,58887
277,0,0,10,0,58886
815,0,0,11,0,58885
352,0,0,12,0,58884
389,-12,0,0,0,58883
325,0,0,10,0,58882
260,0,0,11,0,58881
366,0,0,12,0,58880
63,-14,0,0,0,58879
389,-13,0,0,0,58878
210,-7,0,0,0,58877
856,-14,0,0,0,58876
362,0,0,13,0,58875
115,0,0,11,0,58874
60,-14,0,0,0,58873
60,-12,0,0,0,58872
273,0,0,12,0,58871
314,0,0,11,0,58870
174,0,0,10,0,58869
60,-13,0,0,0,58868
340,0,0,13,0,58867
205,-6,0,0,0,58866
363,0,0,12,0,58865
301,0,0,11,0,58864
156,0,0,11,0,58863
327,0,0,12,0,58862
856,-11,0,0,0,58861
824,0,0,12,0,58860
142,0,0,11,0,58859
316,0,0,10,0,58858
307,0,0,13,0,58857
194,-8,0,0,0,58856
169,0,0,12,0,58855
202,-9,-1,0,0,58854
820,-11,0,0,0,58853
302,0,0,12,0,58852
379,0,0,10,0,58851
104,0,0,12,0,58850
240,0,0,8,0,58849
272,0,0,12,0,58848
189,-5,0,0,0,58847
372,0,0,10,0,58846
369,0,0,10,0,58845
345,0,0,11,0,58844
303,0,0,11,0,58843
74,-9,0,0,0,58842
63,-11,-3,0,0,58841
253,0,0,11,0,58840
283,0,0,12,0,58839
65,-12,0,0,0,58838
205,-7,0,0,0,58837
846,0,0,11,0,58836
205,-8,0,0,0,58835
162,0,0,11,0,58834
318,0,0,10,0,58833
203,-7,0,0,0,58832
61,-14,0,0,0,58831
164,0,0,11,0,58830
14,0,0,13,0,58829
166,0,0,11,0,58828
342,0,0,11,0,58827
361,0,0,13,0,58826
856,-10,0,0,0,58825
263,0,0,11,0,58824
375,0,0,10,0,58823
144,0,0,11,0,58822
287,0,0,12,0,58821
354,0,0,12,0,58820
159,0,0,11,0,58819
163,0,0,13,0,58818
463,0,0,10,0,58817
136,0,0,11,0,58816
856,-12,0,0,0,58815
298,0,0,11,0,58814
198,-5,0,0,0,58813
295,0,0,13,0,58812
274,0,0,11,0,58811
248,0,0,11,0,58810
364,0,0,11,0,58809
312,0,0,10,0,58808
378,0,0,10,0,58807
814,0,0,11,0,58806
809,0,0,13,0,58805
126,0,0,14,0,58804
405,-11,0,0,0,58803
202,-7,-1,0,0,58802
207,-6,0,0,0,58801
371,0,0,10,0,58800
479,-8,-3,0,0,58799
152,0,0,10,0,58798
172,0,0,11,0,58797
189,-7,0,0,0,58796
333,0,0,12,0,58795
63,-8,-3,0,0,58794
851,0,0,12,0,58793
202,-10,-1,0,0,58792
358,0,0,12,0,58791
57,-11,-1,0,0,58790
385,0,0,10,0,58789
203,-5,0,0,0,58788
173,0,0,11,0,58787
254,0,0,12,0,58786
390,-13,0,0,0,58785
57,0,0,0,0,58784
129,0,0,12,0,58783
269,0,0,15,0,58782
65,-13,0,0,0,58781
299,0,0,12,0,58780
329,0,0,11,0,58779
258,0,0,12,0,58778
826,0,0,11,0,58777
328,0,0,13,0,58776
855,0,0,13,0,58775
157,0,0,11,0,58774
191,-8,0,0,0,58773
180,-8,0,0,0,58772
207,-4,0,0,0,58771
61,-12,1,0,0,58770
338,0,0,14,0,58769
0,0,0,19,0,58768
58,0,0,6,0,58767
473,-10,-3,0,0,58766
255,0,0,11,0,58765
19,0,0,14,0,58764
243,0,0,5,0,58763
278,0,0,11,0,58762
382,0,0,10,0,58761
479,-9,-3,0,0,58760
311,0,0,14,0,58759
77,-8,0,0,0,58758
271,0,0,14,0,58757
203,-8,0,0,0,58756
335,0,0,12,0,58755
373,0,0,12,0,58754
810,-9,0,0,0,58753
280,0,0,10,0,58752
479,-8,-4,0,0,58751
210,-5,0,0,0,58750
17,0,0,14,0,58749
290,0,0,11,0,58748
828,0,0,12,0,58747
121,0,0,11,0,58746
65,-7,-2,0,0,58745
462,0,0,11,0,58744
262,0,0,11,0,58743
207,0,0,0,0,58742
461,0,0,11,0,58741
380,0,0,10,0,58740
357,0,0,12,0,58739
331,0,0,11,0,58738
384,0,0,10,0,58737
170,0,0,11,0,58736
106,0,0,12,0,58735
143,0,0,11,0,58734
61,-13,0,0,0,58733
29,0,0,12,0,58732
857,0,0,11,0,58731
289,0,0,11,0,58730
216,0,0,7,0,58729
241,0,0,8,0,58728
207,-7,0,0,0,58727
810,-7,0,0,0,58726
154,0,0,11,0,58725
351,0,0,12,0,58724
206,-6,0,0,0,58723
