index,x_offset,y_offset,x_advance,y_advance,codepoint
41,0,0,10,0,58104
18,0,0,13,0,58103
25,0,0,13,0,58102
36,0,0,16,0,58101
28,0,0,12,0,58100
48,0,0,18,0,58099
30,0,0,15,0,58098
47,0,0,11,0,58097
77,0,0,13,0,58096
166,0,0,4,0,58095
29,0,0,13,0,58094
46,0,0,14,0,58093
86,0,0,19,0,58092
31,0,0,10,0,58091
42,0,0,4,0,58090
165,0,0,4,0,58089
88,0,0,13,0,58088
20,0,0,11,0,58087
27,0,0,19,0,58086
84,0,0,13,0,58085
23,0,0,11,0,58084
87,0,0,12,0,58083
33,0,0,16,0,58082
41,0,0,9,0,58081
92,0,0,16,0,58080
32,0,0,14,0,58079
140,0,0,16,0,58078
102,0,0,17,0,58077
122,0,0,17,0,58076
34,0,0,17,0,58075
82,0,0,11,0,58074
90,0,0,10,0,58073
167,0,0,4,0,58072
116,0,0,16,0,58071
85,0,0,12,0,58070
91,0,0,14,0,58069
26,0,0,12,0,58068
78,0,0,16,0,58067
6,0,0,18,0,58066
114,0,0,12,0,58065
90,0,0,9,0,58064
79,0,0,11,0,58063
131,0,0,12,0,58062
8,0,0,18,0,58061
83,0,0,26,0,58060
143,0,0,18,0,58059
35,0,0,13,0,58058
134,0,0,18,0,58057
24,0,0,26,0,58056
89,0,0,15,0,58055
93,0,0,17,0,58054
137,0,0,15,0,58053
145,0,0,20,0,58052
10,0,0,17,0,58051
108,0,0,14,0,58050
156,0,0,16,0,58049
34,0,0,16,0,58048
93,0,0,16,0,58047
31,0,0,9,0,58046
128,0,0,22,0,58045
147,0,0,20,0,58044
150,0,0,23,0,58043
98,0,0,20,0,58042
12,0,0,12,0,58041
153,0,0,18,0,58040
83,0,0,25,0,58039
103,0,0,21,0,58038
15,0,0,15,0,58037
21,0,0,16,0,58036
24,0,0,25,0,58035
94,0,0,13,0,58034
81,0,0,19,0,58033
18,0,0,12,0,58032
7,0,0,21,0,58031
7,0,0,20,0,58030
243,0,0,9,0,58029
84,0,0,12,0,58028
95,0,0,16,0,58027
40,0,0,25,0,58026
23,0,0,10,0,58025
25,0,0,12,0,58024
124,0,0,12,0,58023
135,0,0,19,0,58022
155,0,0,16,0,58021
82,0,0,10,0,58020
121,0,0,13,0,58019
38,0,0,21,0,58018
119,0,0,29,0,58017
12,0,0,13,0,58016
132,0,0,15,0,58015
5,0,0,14,0,58014
107,0,0,11,0,58013
133,0,0,13,0,58012
39,0,0,20,0,58011
13,0,0,12,0,58010
109,0,0,19,0,58009
114,0,0,11,0,58008
22,0,0,19,0,58007
97,0,0,21,0,58006
101,0,0,13,0,58005
16,0,0,15,0,58004
11,0,0,24,0,58003
102,0,0,16,0,58002
9,0,0,11,0,58001
132,0,0,14,0,58000
125,0,0,17,0,57999
130,0,0,12,0,57998
14,0,0,16,0,57997
126,0,0,22,0,57996
138,0,0,18,0,57995
13,0,0,13,0,57994
141,0,0,18,0,57993
123,0,0,23,0,57992
123,0,0,22,0,57991
159,0,0,24,0,57990
81,0,0,18,0,57989
148,0,0,25,0,57988
139,0,0,10,0,57987
80,0,0,16,0,57986
115,0,0,12,0,57985
52,0,0,0,0,57984
164,0,0,4,0,57983
146,0,0,16,0,57982
136,0,0,15,0,57981
142,0,0,14,0,57980
138,0,0,17,0,57979
129,0,0,28,0,57978
44,0,0,8,0,57977
157,0,0,19,0,57976
54,0,0,16,0,57975
76,0,0,29,0,57974
127,0,0,19,0,57973
139,0,0,9,0,57972
54,0,0,17,0,57971
99,0,0,25,0,57970
110,0,0,16,0,57969
7,0,0,19,0,57968
163,0,0,24,0,57967
45,0,0,13,0,57966
10,0,0,16,0,57965
86,0,0,18,0,57964
117,0,0,14,0,57963
41,0,0,8,0,57962
151,0,0,25,0,57961
92,0,0,15,0,57960
19,0,0,16,0,57959
150,0,0,22,0,57958
90,0,0,8,0,57957
139,0,0,11,0,57956
107,0,0,12,0,57955
138,0,0,16,0,57954
44,0,0,7,0,57953
161,0,0,25,0,57952
118,0,0,26,0,57951
144,0,0,23,0,57950
132,0,0,13,0,57949
27,0,0,18,0,57948
129,0,0,27,0,57947
149,0,0,17,0,57946
66,0,0,14,0,57945
57,0,0,17,0,57944
65,0,0,14,0,57943
60,0,0,16,0,57942
63,0,0,18,0,57941
56,0,0,13,0,57940
58,0,0,15,0,57939
62,0,0,13,0,57938
59,0,0,15,0,57937
61,0,0,16,0,57936
64,0,0,18,0,57935
33,0,0,15,0,57934
22,0,0,18,0,57933
149,0,0,16,0,57932
127,0,0,20,0,57931
93,0,0,15,0,57930
109,0,0,18,0,57929
120,0,0,34,0,57928
160,0,0,20,0,57927
168,0,0,8,0,57926
118,0,0,25,0,57925
157,0,0,18,0,57924
103,0,0,20,0,57923
100,0,0,29,0,57922
31,0,0,8,0,57921
152,0,0,13,0,57920
158,0,0,21,0,57919
141,0,0,17,0,57918
32,0,0,13,0,57917
154,0,0,19,0,57916
17,0,0,32,0,57915
20,0,0,10,0,57914
83,0,0,24,0,57913
117,0,0,13,0,57912
169,0,0,13,0,57911
34,0,0,15,0,57910
118,0,0,27,0,57909
55,0,0,10,0,57908
151,0,0,24,0,57907
43,0,0,0,0,57906
67,0,0,15,0,57905
168,0,0,7,0,57904
0,0,0,9,0,57903
149,0,0,18,0,57902
24,0,0,24,0,57901
37,0,0,18,0,57900
157,0,0,17,0,57899
17,0,0,31,0,57898
162,0,0,29,0,57897
105,0,0,16,0,57896
134,0,0,17,0,57895
112,0,0,19,0,57894
153,0,0,17,0,57893
13,0,0,11,0,57892
12,0,0,11,0,57891
91,0,0,13,0,57890
96,0,0,18,0,57889
4,-9,0,0,0,57888
111,0,0,19,0,57887
139,0,0,8,0,57886
4,-7,0,6,0,57885
68,0,0,15,0,57884
113,0,0,24,0,57883
9,0,0,10,0,57882
79,0,0,10,0,57881
4,-11,0,0,0,57880
44,0,0,5,0,57879
4,-8,0,0,0,57878
4,-13,0,0,0,57877
4,-15,0,0,0,57876
70,0,0,35,0,57875
53,0,0,18,0,57874
73,0,0,31,0,57873
107,0,0,10,0,57872
113,0,0,25,0,57871
4,0,0,6,0,57870
148,0,0,24,0,57869
4,-17,0,6,0,57868
4,-12,0,0,0,57867
4,-19,0,0,0,57866
142,0,0,13,0,57865
54,0,0,15,0,57864
4,-10,0,0,0,57863
69,0,0,20,0,57862
71,0,0,16,0,57861
127,0,0,18,0,57860
4,-9,0,6,0,57859
104,0,0,16,0,57858
74,0,0,16,0,57857
75,0,0,19,0,57856
123,0,0,21,0,57855
72,0,0,21,0,57854
146,0,0,15,0,57853
106,0,0,19,0,57852
4,-21,0,0,0,57851
4,-17,0,0,0,57850
106,0,0,18,0,57849
4,-20,0,6,0,57848
126,0,0,21,0,57847
4,-16,0,0,0,57846
168,0,0,5,0,57845
4,-20,0,0,0,57844
4,-18,0,0,0,57843
4,-11,0,6,0,57842
4,-23,0,0,0,57841
4,-19,0,6,0,57840
56,0,0,12,0,57839
4,-14,0,6,0,57838
4,-13,0,6,0,57837
4,-12,0,6,0,57836
4,-23,0,6,0,57835
4,-22,0,0,0,57834
4,-68,0,6,0,57833
4,-25,0,0,0,57832
4,-27,0,0,0,57831
4,-30,0,6,0,57830
4,-36,0,6,0,57829
106,0,0,17,0,57828
