index,x_offset,y_offset,x_advance,y_advance,codepoint
63,0,0,5,0,57827
6,0,0,8,0,57826
42,0,0,11,0,57825
49,0,0,9,0,57824
51,0,0,11,0,57823
47,0,0,17,0,57822
23,0,0,8,0,57821
38,0,0,12,0,57820
40,0,0,11,0,57819
57,0,0,11,0,57818
25,0,0,9,0,57817
43,0,0,11,0,57816
48,0,0,20,0,57815
196,0,0,11,0,57814
54,0,0,11,0,57813
35,0,0,12,0,57812
778,0,0,7,0,57811
5,0,0,5,0,57810
45,0,0,12,0,57809
28,0,0,12,0,57808
203,0,0,9,0,57807
33,0,0,12,0,57806
64,0,0,10,0,57805
207,0,0,11,0,57804
772,0,0,5,0,57803
777,0,0,7,0,57802
171,0,0,16,0,57801
160,0,0,16,0,57800
194,0,0,11,0,57799
143,0,0,14,0,57798
192,0,0,12,0,57797
167,0,0,15,0,57796
30,0,0,11,0,57795
9,0,0,12,0,57794
771,0,0,4,0,57793
55,0,0,9,0,57792
205,0,0,11,0,57791
182,0,0,12,0,57790
58,0,0,16,0,57789
429,0,0,16,0,57788
161,0,0,16,0,57787
156,0,0,17,0,57786
46,0,0,12,0,57785
177,0,0,8,0,57784
189,0,0,12,0,57783
250,0,0,16,0,57782
773,0,0,6,0,57781
41,0,0,11,0,57780
174,0,0,16,0,57779
37,0,0,13,0,57778
158,0,0,16,0,57777
187,0,0,12,0,57776
141,0,0,14,0,57775
210,0,0,11,0,57774
767,0,0,6,0,57773
65,0,0,6,0,57772
56,0,0,11,0,57771
485,-1,0,0,0,57770
165,0,0,22,0,57769
42,0,0,10,0,57768
545,0,0,0,0,57767
252,0,0,16,0,57766
166,0,0,25,0,57765
202,0,0,20,0,57764
124,0,0,11,0,57763
490,-1,0,0,0,57762
169,0,0,16,0,57761
298,0,0,12,0,57760
312,0,0,11,0,57759
201,0,0,17,0,57758
179,0,0,9,0,57757
769,0,0,8,0,57756
10,0,0,12,0,57755
232,0,0,11,0,57754
323,0,0,11,0,57753
480,-2,0,0,0,57752
310,0,0,11,0,57751
540,0,0,0,0,57750
416,0,0,15,0,57749
167,0,0,14,0,57748
775,0,0,6,0,57747
141,0,0,13,0,57746
148,0,0,16,0,57745
365,0,0,12,0,57744
561,0,0,0,0,57743
7,0,0,5,0,57742
197,0,0,11,0,57741
