index,x_offset,y_offset,x_advance,y_advance,codepoint
66,0,0,4,0,2304
40,0,0,8,0,2305
51,0,0,9,0,2306
57,0,0,8,0,2307
50,0,0,9,0,2308
44,0,0,8,0,2309
52,0,0,6,0,2310
25,0,0,11,0,2311
75,0,0,0,0,2312
607,0,0,4,0,2313
60,0,0,10,0,2314
46,0,0,8,0,2315
42,0,0,8,0,2316
69,0,0,0,0,2317
79,0,0,4,0,2318
6,0,0,0,0,2319
54,0,0,10,0,2320
68,0,0,4,0,2321
181,0,0,0,0,2322
58,0,0,10,0,2323
215,0,0,6,0,2324
27,0,0,8,0,2325
61,0,0,8,0,2326
49,0,0,10,0,2327
39,0,0,11,0,2328
30,0,0,9,0,2329
198,0,0,4,0,2330
7,0,0,4,0,2331
202,0,0,4,0,2332
81,0,0,0,0,2333
32,0,0,11,0,2334
43,0,0,9,0,2335
48,0,0,8,0,2336
274,0,0,8,0,2337
104,0,0,5,0,2338
609,0,0,4,0,2339
70,0,0,0,0,2340
76,0,0,0,0,2341
59,0,0,9,0,2342
9,0,0,11,0,2343
608,0,0,4,0,2344
41,0,0,10,0,2345
269,0,0,8,0,2346
37,0,0,9,0,2347
610,0,0,4,0,2348
71,0,0,0,0,2349
606,0,0,4,0,2350
35,0,0,7,0,2351
179,0,0,11,0,2352
65,0,0,7,0,2353
26,0,0,12,0,2354
605,0,0,4,0,2355
80,0,0,4,0,2356
521,0,0,10,0,2357
652,0,0,0,0,2358
203,0,0,4,0,2359
271,0,0,8,0,2360
494,0,0,13,0,2361
11,0,0,7,0,2362
276,0,0,8,0,2363
13,0,0,8,0,2364
558,0,0,10,0,2365
417,0,0,8,0,2366
557,0,0,14,0,2367
214,0,0,5,0,2368
69,-3,0,0,0,2369
10,0,0,15,0,2370
562,0,0,9,0,2371
284,0,0,11,0,2372
529,0,0,9,0,2373
185,0,0,4,0,2374
531,0,0,12,0,2375
207,0,0,5,0,2376
545,0,0,9,0,2377
75,-3,0,0,0,2378
183,0,0,8,0,2379
201,0,0,5,0,2380
536,0,0,10,0,2381
497,0,0,10,0,2382
210,0,0,7,0,2383
653,0,0,4,0,2384
198,0,0,5,0,2385
71,-3,0,0,0,2386
47,0,0,12,0,2387
604,0,0,4,0,2388
19,0,0,8,0,2389
31,0,0,10,0,2390
254,0,0,11,0,2391
28,0,0,9,0,2392
29,0,0,10,0,2393
418,0,0,12,0,2394
568,0,0,15,0,2395
256,0,0,8,0,2396
611,0,0,4,0,2397
107,0,0,8,0,2398
180,0,0,10,0,2399
419,0,0,8,0,2400
86,0,0,0,0,2401
105,0,0,9,0,2402
559,0,0,10,0,2403
36,0,0,9,0,2404
449,0,0,0,0,2405
213,0,0,6,0,2406
501,0,0,17,0,2407
81,-2,0,0,0,2408
197,0,0,7,0,2409
188,0,0,6,0,2410
613,0,0,4,0,2411
